Dataset,Target,Model,Horizon,RMSE_Baseline,RMSE_Actor,Delta_RMSE,MAE_Baseline,MAE_Actor,Delta_MAE,R2_Baseline,R2_Actor,Delta_R2,p_RMSE,p_MAE,RMSE_Significant_Improvement,MAE_Significant_Improvement
BPIC 2017,Avg_Elapsed_Time,XGBoost,1,39.337,38.38,0.957,19.358,18.269,1.089,0.96,0.962,0.002,0.0654,0.0322,False,True
BPIC 2017,Avg_Elapsed_Time,XGBoost,3,68.482,66.363,2.119,39.531,38.613,0.918,0.88,0.888,0.007,0.042,0.1875,True,False
BPIC 2017,Avg_Elapsed_Time,XGBoost,7,108.173,106.81,1.364,73.276,69.911,3.365,0.713,0.72,0.007,0.3477,0.0137,False,True
BPIC 2017,Avg_Elapsed_Time,LightGBM,1,36.417,35.979,0.439,16.662,15.636,1.026,0.966,0.966,0.001,0.0322,0.001,True,True
BPIC 2017,Avg_Elapsed_Time,LightGBM,3,69.419,72.084,-2.665,40.145,43.279,-3.135,0.877,0.868,-0.01,1.0,1.0,False,False
BPIC 2017,Avg_Elapsed_Time,LightGBM,7,105.715,103.608,2.107,71.717,68.079,3.638,0.726,0.737,0.011,0.001,0.001,True,True
BPIC 2017,Avg_Elapsed_Time,GRU+Attn,1,39.609,38.678,0.931,18.324,17.672,0.652,0.964,0.966,0.002,0.1377,0.1875,False,False
BPIC 2017,Avg_Elapsed_Time,GRU+Attn,3,70.508,66.395,4.113,43.132,38.409,4.723,0.887,0.9,0.013,0.0322,0.0186,True,True
BPIC 2017,Avg_Elapsed_Time,GRU+Attn,7,114.314,101.672,12.642,77.763,67.74,10.023,0.709,0.77,0.061,0.002,0.002,True,True
BPIC 2017,Avg_Elapsed_Time,LSTM+Attn,1,41.35,39.069,2.281,20.191,18.132,2.059,0.961,0.965,0.005,0.042,0.0527,True,False
BPIC 2017,Avg_Elapsed_Time,LSTM+Attn,3,72.56,68.701,3.859,44.749,40.945,3.804,0.88,0.893,0.012,0.0527,0.0244,False,True
BPIC 2017,Avg_Elapsed_Time,LSTM+Attn,7,113.389,104.234,9.155,77.062,69.78,7.281,0.714,0.758,0.045,0.001,0.001,True,True
BPIC 2017,Avg_Elapsed_Time,SARIMAX,1,40.5613,40.0189,0.542446,19.1642,18.4648,0.699357,0.957372,0.958505,0.00113253,0.000843689,0.00119962,True,True
BPIC 2017,Avg_Elapsed_Time,SARIMAX,3,75.2453,55.3603,19.885,38.9253,27.4457,11.4796,0.85581,0.92195,0.0661398,0.000852047,0.00112666,True,True
BPIC 2017,Avg_Elapsed_Time,SARIMAX,7,170.478,144.688,25.7897,103.486,88.9739,14.5126,0.288006,0.487131,0.199125,6.16953e-06,2.89045e-06,True,True
BPIC 2017,Avg_Elapsed_Time,ARX-HAC,1,41.0416,41.4658,-0.424199999999999,19.7625,19.9582,-0.1957000000000022,0.956357,0.95545,-0.0009069999999999911,0.890231,0.695159,False,False
BPIC 2017,Avg_Elapsed_Time,ARX-HAC,3,84.0974,77.7947,6.302699999999987,47.677,45.2764,2.400599999999997,0.819888,0.845874,0.025986000000000065,0.00258881,0.00371766,True,True
BPIC 2017,Avg_Elapsed_Time,ARX-HAC,7,149.913,147.646,2.2670000000000243,90.4509,90.4246,0.026300000000006207,0.449422,0.465948,0.016525999999999985,0.072277,0.272236,False,False
BPIC 2017,Avg_Remaining_Time,XGBoost,1,20.401,17.229,3.172,16.105,13.77,2.335,0.959,0.971,0.012,0.0137,0.0137,True,True
BPIC 2017,Avg_Remaining_Time,XGBoost,3,41.8,30.905,10.895,34.501,25.591,8.909,0.834,0.91,0.075,0.001,0.001,True,True
BPIC 2017,Avg_Remaining_Time,XGBoost,7,58.148,52.962,5.186,44.591,41.096,3.495,0.694,0.747,0.053,0.0049,0.0049,True,True
BPIC 2017,Avg_Remaining_Time,LightGBM,1,18.117,16.155,1.962,14.248,12.839,1.409,0.968,0.975,0.006,0.0098,0.0098,True,True
BPIC 2017,Avg_Remaining_Time,LightGBM,3,48.26,30.28,17.98,37.656,24.978,12.678,0.781,0.914,0.133,0.001,0.001,True,True
BPIC 2017,Avg_Remaining_Time,LightGBM,7,54.69,50.032,4.658,41.27,38.196,3.074,0.73,0.774,0.044,0.001,0.001,True,True
BPIC 2017,Avg_Remaining_Time,GRU+Attn,1,15.204,15.61,-0.407,11.601,12.095,-0.494,0.979,0.979,-0.001,0.5391,0.7217,False,False
BPIC 2017,Avg_Remaining_Time,GRU+Attn,3,29.078,27.275,1.803,23.549,20.539,3.011,0.925,0.935,0.01,0.0967,0.0186,False,True
BPIC 2017,Avg_Remaining_Time,GRU+Attn,7,49.551,40.345,9.206,40.035,31.395,8.64,0.782,0.856,0.074,0.001,0.001,True,True
BPIC 2017,Avg_Remaining_Time,LSTM+Attn,1,16.762,13.997,2.765,13.025,10.923,2.102,0.974,0.983,0.009,0.0801,0.0801,False,False
BPIC 2017,Avg_Remaining_Time,LSTM+Attn,3,29.528,27.589,1.939,24.65,21.138,3.513,0.923,0.933,0.01,0.2461,0.0186,False,True
